,sugar index,bake temp,chill time,calories,grams baking soda,bake time,quality,weight,cubed,melted
169,10.4,960,22.0,177.0,0.45,9.1,6,15.2,0,1
170,1.5,430,19.0,113.0,0.56,10.1,8,14.6,0,1
171,1.4,480,10.0,67.0,0.41,11.4,7,12.8,0,1
172,2.2,740,13.0,25.0,0.76,12.4,7,19.2,1,0
174,7.1,470,54.0,201.0,0.48,9.5,8,12.4,0,1
175,8.8,520,24.0,113.0,0.45,9.4,7,13.4,0,1
176,1.1,450,20.0,73.0,0.4,10.8,9,14.4,0,1
177,7.9,490,38.0,157.0,0.48,8.9,8,14.8,0,1
178,2.6,790,12.0,49.0,0.57,10.0,5,15.2,1,0
179,10.9,380,29.0,130.0,0.44,10.5,9,13.2,0,1
180,2.2,490,18.0,134.0,0.68,10.0,7,11.2,0,1
181,2.7,330,38.0,94.0,0.43,11.8,9,14.4,0,1
183,7.0,440,33.0,147.0,0.58,9.7,7,10.4,0,1
184,5.6,390,31.0,128.0,0.46,10.4,8,12.6,0,1
185,6.8,470,13.0,134.0,0.7,10.0,7,16.0,0,1
186,1.5,570,19.0,37.0,0.89,11.1,7,18.6,1,0
187,4.0,400,24.0,81.0,0.64,12.6,9,12.8,0,1
188,6.3,570,17.0,103.0,0.44,9.6,7,14.0,0,1
189,1.1,390,6.0,62.0,0.32,10.4,7,13.4,0,1
190,4.4,460,57.0,166.0,0.62,11.2,8,14.4,0,1
191,8.6,320,30.0,142.0,0.44,9.5,8,11.8,0,1
192,2.8,470,40.0,122.0,0.64,10.9,9,13.6,0,1
193,1.6,540,25.0,117.0,0.5,9.3,7,12.8,0,1
194,7.1,330,48.0,185.0,0.62,10.6,8,14.6,0,1
195,10.7,380,59.0,186.0,0.55,9.5,8,15.4,0,1
196,7.6,470,52.0,177.0,0.45,8.9,8,14.8,0,1
197,6.7,290,21.0,162.0,0.5,10.6,8,18.0,0,1
198,3.9,1040,28.0,90.0,0.57,9.1,5,15.2,1,0
199,2.3,770,7.0,28.0,0.52,10.0,5,14.4,1,0
201,14.3,440,27.0,149.0,0.46,9.2,8,14.0,0,1
202,6.1,270,38.0,112.0,0.34,12.4,8,13.8,0,1
203,1.4,410,40.0,141.0,0.72,9.5,8,13.0,0,1
204,8.9,480,32.0,111.0,0.54,11.0,9,13.4,0,1
205,2.4,120,36.0,100.0,0.39,11.7,9,13.4,0,1
206,3.1,180,15.0,37.0,0.52,11.9,9,14.2,0,1
208,1.6,580,53.0,150.0,0.5,9.9,9,14.8,0,1
209,4.0,380,37.0,97.0,0.6,12.6,10,13.0,0,1
210,5.1,350,29.0,142.0,0.33,10.1,9,12.6,0,1
211,16.8,480,50.0,228.0,0.52,9.2,8,16.6,0,1
212,1.5,520,34.0,134.0,0.61,9.8,8,12.6,0,1
213,3.8,410,82.0,187.0,0.6,11.2,9,14.4,0,1
214,1.9,580,5.0,10.0,0.63,10.4,6,18.2,1,0
215,1.7,310,48.0,134.0,0.49,11.5,8,12.6,0,1
216,1.0,370,21.0,74.0,0.37,11.0,7,14.4,0,1
217,7.8,580,44.0,166.0,0.41,9.0,7,12.6,0,1
218,2.5,630,9.0,28.0,0.65,10.8,6,19.6,1,0
219,15.1,330,28.0,124.0,0.47,9.5,7,12.2,0,1
221,1.3,360,40.0,117.0,0.95,9.5,9,13.8,0,1
222,2.0,600,4.0,11.0,0.64,10.9,4,13.6,1,0
223,8.5,550,45.0,151.0,0.52,9.2,7,14.4,0,1
224,10.7,360,27.0,98.0,0.52,10.2,8,12.2,0,1
225,5.6,390,15.0,68.0,0.52,11.1,8,13.2,0,1
226,2.6,940,38.0,106.0,0.59,9.1,5,18.2,1,0
227,5.1,620,8.0,22.0,0.94,10.9,6,16.4,1,0
229,10.6,390,32.0,120.0,0.34,10.1,8,13.0,0,1
230,19.1,450,50.0,208.0,0.5,9.2,8,16.0,0,1
231,2.5,790,5.0,10.0,0.56,9.8,5,15.2,1,0
232,6.6,540,40.0,158.0,0.48,10.3,7,12.6,0,1
233,16.8,840,59.0,222.0,0.58,9.0,7,13.0,0,1
234,1.5,740,25.0,168.0,0.51,9.3,7,15.2,0,1
236,3.6,360,22.0,91.0,0.5,9.8,8,10.6,0,1
237,13.0,430,46.0,238.0,0.41,8.7,8,14.6,0,1
238,8.9,830,50.0,171.0,0.5,9.0,7,13.0,0,1
239,2.0,290,21.0,63.0,0.63,12.5,8,14.4,0,1
240,17.9,660,36.0,161.0,0.51,8.8,7,12.6,0,1
243,1.4,390,30.0,104.0,0.41,12.4,8,12.0,0,1
244,2.7,920,14.0,44.0,0.74,10.0,6,19.0,1,0
245,2.1,710,16.0,24.0,0.77,11.1,6,11.8,1,0
246,15.4,730,56.0,173.0,0.41,8.7,8,13.6,0,1
247,3.5,440,17.0,63.0,0.39,9.2,7,14.0,0,1
248,7.8,310,24.0,116.0,0.4,11.3,8,10.0,0,1
249,0.9,190,4.0,28.0,0.36,12.0,8,14.2,0,1
250,15.7,500,29.0,124.0,0.54,10.4,7,15.0,0,1
251,2.5,970,33.0,85.0,0.77,11.4,6,14.0,1,0
252,11.6,280,22.0,97.0,0.38,11.7,8,13.6,0,1
253,7.0,880,27.0,94.0,0.77,9.4,5,15.0,1,0
254,3.5,330,27.0,135.0,0.37,12.0,8,13.6,0,1
255,14.7,510,29.0,149.0,0.39,9.0,9,14.0,0,1
256,11.9,400,54.0,159.0,0.54,9.8,8,13.2,0,1
257,13.3,390,49.0,130.0,0.46,11.0,10,12.4,0,1
258,1.8,500,17.0,114.0,0.49,10.7,9,15.8,0,1
259,2.2,1060,8.0,32.0,0.5,9.6,5,21.4,1,0
261,3.0,640,12.0,27.0,0.59,12.8,6,13.0,1,0
262,2.0,270,14.0,79.0,0.63,12.4,8,13.2,0,1
263,15.5,500,25.0,135.0,0.43,8.7,9,14.8,0,1
264,1.9,540,6.0,17.0,0.47,10.0,5,20.4,1,0
265,2.1,710,16.0,24.0,0.77,11.1,6,11.8,1,0
266,1.2,360,7.0,89.0,0.48,11.0,7,11.4,0,1
267,1.6,390,24.0,147.0,0.36,10.0,7,17.0,0,1
268,13.6,500,41.0,178.0,0.43,9.7,7,14.6,0,1
269,1.2,400,31.0,111.0,0.53,11.1,7,14.2,0,1
270,2.3,420,19.0,120.0,0.41,12.7,9,12.0,0,1
271,2.3,940,10.0,45.0,0.6,9.7,7,19.6,1,0
272,1.6,530,47.0,150.0,0.76,9.6,8,15.8,0,1
274,2.3,340,25.0,133.0,0.59,12.0,9,12.2,0,1
275,1.8,1040,12.0,47.0,0.93,9.5,5,15.6,1,0
276,1.2,270,36.0,121.0,0.38,10.7,8,16.4,0,1
277,2.1,340,49.0,121.0,0.43,13.2,9,13.8,0,1
278,1.3,580,25.0,133.0,0.39,10.2,6,13.6,0,1
279,1.7,300,31.0,103.0,0.37,12.9,8,11.2,0,1
280,15.4,500,38.0,174.0,0.42,9.0,8,14.6,0,1
281,4.8,430,45.0,114.0,0.44,11.2,8,13.0,0,1
282,1.9,280,32.0,138.0,0.72,11.7,7,12.2,0,1
283,4.8,540,6.0,97.0,0.5,9.3,7,12.4,0,1
284,2.8,840,18.0,49.0,0.72,11.1,6,16.2,1,0
285,11.2,310,41.0,167.0,0.43,11.3,9,15.4,0,1
286,2.4,560,49.0,159.0,0.47,8.8,10,13.8,0,1
287,1.1,510,61.0,197.0,0.4,9.0,7,12.0,0,1
288,1.7,350,39.0,84.0,0.48,12.7,9,13.2,0,1
290,1.5,510,18.0,87.0,0.46,9.6,7,12.2,0,1
291,4.4,550,17.0,135.0,0.44,12.2,8,12.8,0,1
292,1.9,970,14.0,38.0,0.58,9.0,6,14.4,1,0
293,1.6,480,26.0,60.0,0.75,14.0,6,10.0,1,0
294,3.5,360,23.0,92.0,0.38,11.2,8,13.0,0,1
295,3.2,330,28.0,124.0,0.54,12.7,9,12.8,0,1
296,9.9,380,30.0,133.0,0.44,9.8,7,13.0,0,1
297,1.5,370,12.0,119.0,0.51,10.4,9,12.8,0,1
298,2.0,730,9.0,18.0,0.57,9.5,7,15.6,1,0
299,2.0,560,15.0,29.0,0.76,11.3,8,14.4,1,0
300,14.8,530,44.0,95.0,0.35,9.8,8,13.4,0,1
301,7.4,520,45.0,128.0,0.37,10.0,8,13.2,0,1
303,7.4,150,47.0,124.0,0.39,11.0,8,15.6,0,1
304,5.2,430,18.0,104.0,0.45,10.7,6,14.6,0,1
306,2.6,660,29.0,56.0,0.79,12.1,7,21.4,1,0
307,2.6,700,5.0,16.0,0.65,11.0,8,21.4,1,0
308,1.0,420,35.0,101.0,0.48,11.4,9,11.6,0,1
309,4.8,560,39.0,113.0,0.52,10.2,9,15.0,0,1
310,1.9,650,5.0,10.0,0.54,11.2,7,15.8,1,0
311,7.7,530,20.0,103.0,0.45,12.2,8,10.4,0,1
312,2.4,920,10.0,41.0,0.71,9.8,6,15.6,1,0
313,1.6,870,27.0,177.0,0.5,9.8,7,15.2,0,1
315,2.5,800,26.0,86.0,0.62,9.5,6,18.0,1,0
316,1.6,260,26.0,189.0,0.74,12.1,9,15.6,0,1
317,5.5,420,44.0,189.0,0.47,10.3,8,12.6,0,1
318,14.6,440,45.0,163.0,0.69,8.6,9,16.0,0,1
319,9.8,550,74.0,134.0,0.4,10.2,8,12.2,0,1
320,1.2,360,42.0,107.0,0.56,10.8,9,12.2,0,1
321,2.0,820,6.0,15.0,0.66,9.2,6,22.6,1,0
322,1.3,360,69.0,168.0,0.46,10.46666667,7,9.8,0,1
323,8.5,480,10.0,147.0,0.46,9.5,8,13.8,0,1
324,2.7,1000,18.0,95.0,0.67,9.4,5,15.6,1,0
325,1.2,420,18.0,167.0,0.39,10.6,7,16.4,0,1
326,2.0,800,31.0,131.0,0.52,9.9,5,15.6,1,0
328,1.4,400,25.0,184.0,0.46,10.7,7,13.0,0,1
329,5.1,480,38.0,168.0,0.49,10.4,8,14.0,0,1
330,5.4,300,15.0,118.0,0.34,9.6,7,16.4,0,1
331,3.0,860,23.0,81.0,0.74,11.6,6,17.4,1,0
332,10.5,310,53.0,140.0,0.46,11.7,8,10.6,0,1
333,1.7,540,7.0,15.0,0.8,11.9,7,15.8,1,0
334,1.1,280,34.0,95.0,0.36,10.0,6,17.0,0,1
335,17.3,520,22.0,126.0,0.47,9.2,8,13.0,0,1
336,2.0,670,12.0,27.0,0.97,10.1,6,23.0,1,0
337,10.7,290,14.0,111.0,0.42,10.6,7,18.8,0,1
338,13.2,560,12.0,105.0,0.39,9.2,7,14.2,0,1
339,7.5,700,45.0,185.0,0.55,9.4,7,14.0,0,1
340,6.4,370,37.0,161.0,0.53,9.7,8,12.8,0,1
341,1.2,510,31.0,95.0,0.57,11.3,8,12.4,0,1
342,1.7,420,34.0,130.0,0.5,10.7,10,14.0,0,1
343,4.2,260,21.0,77.0,0.45,11.9,8,11.4,0,1
345,2.1,830,35.0,72.0,0.52,9.4,5,14.4,1,0
346,1.5,450,22.0,61.0,0.54,10.4,7,12.2,0,1
347,2.1,700,5.0,20.0,0.59,9.9,5,18.6,1,0
348,3.3,410,26.0,124.0,0.5,9.3,8,13.8,0,1
349,1.2,310,38.0,95.0,0.31,10.3,7,17.2,0,1
351,8.3,530,51.0,202.0,0.51,9.6,8,12.6,0,1
352,6.2,510,30.0,173.0,0.53,9.7,7,15.8,0,1
353,6.1,180,41.0,103.0,0.32,12.2,8,13.0,0,1
354,2.5,420,31.0,104.0,0.56,11.3,9,14.6,0,1
355,5.6,360,37.0,127.0,0.57,9.8,8,12.0,0,1
356,14.9,390,47.0,142.0,0.35,9.7,8,12.6,0,1
357,1.4,350,13.0,102.0,0.74,11.0,7,15.0,0,1
359,1.4,570,33.0,135.0,0.5,9.6,8,14.8,0,1
360,5.0,160,31.0,101.0,0.39,11.0,8,15.6,0,1
361,4.2,380,13.0,95.0,0.7,13.1,8,12.2,0,1
362,13.5,390,46.0,165.0,0.4,8.7,7,14.6,0,1
363,2.4,780,15.0,60.0,0.54,9.8,5,14.6,1,0
364,2.0,410,30.0,95.0,0.56,11.1,8,12.0,0,1
365,7.2,380,28.0,137.0,0.6,10.4,8,13.2,0,1
366,12.6,480,54.0,136.0,0.37,10.7,8,13.6,0,1
367,14.8,540,28.0,174.0,0.49,9.7,7,15.0,0,1
369,8.4,510,40.0,167.0,0.62,9.7,7,14.4,0,1
370,16.9,520,51.0,188.0,0.62,9.3,7,15.0,0,1
371,2.8,800,29.0,58.0,0.64,10.3,5,15.6,1,0
372,7.2,470,41.0,151.0,0.6,9.2,7,12.8,0,1
373,1.8,460,14.0,114.0,0.9,11.7,8,14.2,0,1
374,8.3,470,54.0,191.0,0.4,10.3,8,13.4,0,1
375,13.7,520,47.0,197.0,0.53,9.0,7,14.4,0,1
376,4.3,380,18.0,97.0,0.46,9.2,7,11.2,0,1
377,1.8,970,15.0,65.0,0.54,9.2,5,13.4,1,0
378,17.85,490,41.5,195.0,0.44,9.1,9,14.6,0,1
379,2.8,250,37.0,107.0,0.63,11.3,9,13.4,0,1
380,8.8,840,26.0,45.0,0.64,10.1,6,13.6,1,0
381,1.1,460,25.0,80.0,0.4,11.3,8,14.4,0,1
382,1.2,420,47.0,121.0,0.68,10.5,9,14.8,0,1
383,2.6,550,7.0,13.0,0.56,10.8,5,15.4,1,0
384,8.0,420,56.0,187.0,0.46,9.2,7,13.2,0,1
385,1.0,530,26.0,112.0,0.55,9.1,7,13.2,0,1
386,2.1,800,8.0,33.0,0.71,9.6,5,13.8,1,0
388,2.7,880,15.0,33.0,0.9,10.0,6,19.6,1,0
389,1.9,690,9.0,17.0,0.54,12.3,6,16.4,1,0
390,12.5,350,18.0,156.0,0.36,9.0,8,13.4,0,1
391,2.3,750,13.0,81.0,0.54,9.5,6,16.0,1,0
392,4.0,380,37.0,97.0,0.6,12.6,10,13.0,0,1
393,1.5,370,20.0,98.0,0.42,11.0,9,12.8,0,1
395,2.6,770,11.0,35.0,0.62,10.8,6,15.0,1,0
396,10.2,390,29.0,115.0,0.45,10.9,9,13.4,0,1
397,15.5,360,31.0,134.0,0.44,13.0,9,12.0,0,1
398,1.9,720,48.0,159.0,0.7,10.9,8,16.2,0,1
399,11.25,320,31.0,87.0,0.38,12.4,8,13.0,0,1
400,0.9,410,46.0,141.0,0.62,9.7,7,10.6,0,1
401,1.7,570,31.0,98.0,0.41,10.3,8,16.6,0,1
402,9.9,450,41.0,128.0,0.52,9.6,8,13.0,0,1
403,6.2,660,41.0,187.0,0.42,9.733333333,7,10.4,0,1
404,1.1,340,24.0,110.0,0.4,12.5,8,12.2,0,1
405,2.3,480,40.0,150.0,0.46,12.2,8,10.2,0,1
406,7.9,570,21.0,82.0,0.36,10.0,8,12.8,0,1
407,1.8,310,49.0,159.0,0.53,11.0,8,12.0,0,1
408,2.6,560,3.0,7.0,0.37,13.0,5,16.0,1,0
410,1.3,370,27.0,104.0,0.57,10.6,8,14.4,0,1
411,2.0,760,30.0,47.0,0.48,9.4,6,13.0,1,0
412,2.0,450,31.0,101.0,0.55,11.4,7,14.8,0,1
413,1.8,330,16.0,91.0,0.4,11.8,8,12.6,0,1
414,1.4,1420,52.0,148.0,0.49,9.0,8,13.6,0,1
415,12.8,620,19.0,171.0,0.52,9.0,9,13.6,0,1
416,2.1,460,28.0,208.0,0.64,9.8,7,15.6,0,1
417,1.8,1030,13.0,50.0,0.55,9.2,5,10.4,1,0
418,12.2,330,25.0,97.0,0.42,11.3,9,12.0,0,1
419,16.0,360,58.0,201.0,0.67,9.0,7,14.2,0,1
420,1.6,310,24.0,104.0,0.35,12.2,8,10.4,0,1
421,1.6,360,24.0,119.0,0.52,10.1,8,16.2,0,1
422,1.5,520,34.0,134.0,0.61,9.8,8,12.6,0,1
423,7.6,250,35.0,124.0,0.65,12.8,9,14.0,0,1
424,1.2,400,26.0,117.0,0.56,10.8,7,15.4,0,1
425,14.2,390,47.0,129.0,0.72,10.3,9,13.0,0,1
426,2.2,600,3.0,10.0,0.83,10.9,7,22.2,1,0
427,13.9,470,49.0,162.0,0.51,9.0,8,13.6,0,1
428,13.5,600,50.0,156.0,0.46,9.9,8,13.4,0,1
429,1.4,560,21.0,153.0,0.53,10.4,8,15.6,0,1
430,2.6,450,26.0,159.0,0.5,11.2,8,15.4,0,1
431,12.5,370,47.0,156.0,0.44,8.7,7,14.4,0,1
433,2.1,810,15.0,105.0,0.54,9.5,5,15.6,1,0
434,1.2,640,29.0,120.0,0.54,9.1,7,12.4,0,1
436,9.5,590,32.0,178.0,0.43,10.9,8,15.6,0,1
437,7.4,370,36.0,156.0,0.54,10.6,8,16.2,0,1
438,2.1,480,33.0,142.0,0.46,12.9,9,12.6,0,1
439,6.2,460,29.0,227.0,0.53,10.1,8,12.6,0,1
440,8.6,450,37.0,221.0,0.54,10.4,8,14.0,0,1
441,2.0,860,8.0,19.0,0.6,11.4,6,15.8,1,0
442,1.6,420,3.0,11.0,0.85,11.7,6,11.8,1,0
443,1.3,400,26.0,84.0,0.53,10.7,8,14.6,0,1
444,2.6,960,20.0,38.0,0.53,9.5,5,15.8,1,0
445,5.7,1230,27.0,104.0,0.54,9.4,8,14.0,0,1
